Site;Date;PE (kg);Gaz (kWh);Electricité (kWh);Gaz (kWh/kg);Electricité (kWh/kg)
PTWE35;2023-01-01;0.0;0.0;386.5833333333333;;
PTWE42 Andrézieux;2023-01-01;0.0;0.0;81.33333333333333;;
PTWE89;2023-01-01;0.0;0.0;298.25;;
PTWE35;2023-01-02;0.0;3566592.0;460.08333333333326;;
PTWE42 Andrézieux;2023-01-02;0.0;328896.0;85.66666666666666;;
PTWE89;2023-01-02;0.0;0.0;306.66666666666663;;
PTWE35;2023-01-03;0.0;54654912.0;3582.833333333333;;
PTWE42 Andrézieux;2023-01-03;0.0;3862080.0;780.0833333333333;;
PTWE89;2023-01-03;0.0;1336320.0;1845.0833333333333;;
PTWE35;2023-01-04;15907335.552000001;48278592.0;288340.5;3.03498922507673;0.018126259992280572
PTWE42 Andrézieux;2023-01-04;1300838.4;3572928.0;15374.666666666666;2.7466347856889834;0.011819044292255415
PTWE89;2023-01-04;1351353.6;2736576.0;14395.5;2.025062870295384;0.010652652273986615
PTWE35;2023-01-05;15588536.831999999;61972992.0;282634.6666666667;3.9755489991069872;0.0181309297795337
PTWE42 Andrézieux;2023-01-05;1519488.0;3835008.0;14967.999999999998;2.5238817285822592;0.009850686547047426
PTWE89;2023-01-05;0.0;2867904.0;2136.6666666666665;;
PTWE35;2023-01-06;18956077.056;55510272.0;352609.9166666667;2.9283628588347512;0.018601418195599607
PTWE42 Andrézieux;2023-01-06;1297382.4;2659392.0;14151.25;2.0498135322322857;0.010907539673730737
PTWE89;2023-01-06;1650585.6;2875392.0;17046.333333333336;1.742043551088777;0.01032744580670844
PTWE35;2023-01-07;0.0;0.0;1048.25;;
PTWE42 Andrézieux;2023-01-07;0.0;0.0;180.5;;
PTWE89;2023-01-07;0.0;0.0;326.0833333333333;;
PTWE35;2023-01-08;0.0;5728320.0;468.6666666666667;;
PTWE42 Andrézieux;2023-01-08;0.0;416448.0;141.58333333333334;;
PTWE89;2023-01-08;0.0;0.0;325.0;;
PTWE35;2023-01-09;22225449.599999994;75055680.0;342762.3333333334;3.3770151493358327;0.015422065222623594
PTWE42 Andrézieux;2023-01-09;1491609.6;4170816.0;13151.999999999998;2.796184738955823;0.008817320564308515
PTWE89;2023-01-09;0.0;133056.0;2059.75;;
PTWE35;2023-01-10;20255840.639999997;74001600.0;365990.6666666666;3.653346277510999;0.018068401759832698
PTWE42 Andrézieux;2023-01-10;1660262.4;2713536.0;15126.666666666668;1.6344018873161255;0.009111009601052622
PTWE89;2023-01-10;0.0;1707264.0;2100.5;;
PTWE35;2023-01-11;22652248.32;72273600.0;380582.5;3.1905707097599043;0.01680109164545835
PTWE42 Andrézieux;2023-01-11;1155456.0;3848256.0;13743.333333333334;3.330508474576271;0.011894293969942026
PTWE89;2023-01-11;0.0;2835072.0;2282.75;;
PTWE35;2023-01-12;20496841.343999997;72971712.0;416954.99999999994;3.5601442571228605;0.020342402665962697
PTWE42 Andrézieux;2023-01-12;1852416.0;3666816.0;15638.666666666668;1.9794776119402986;0.008442308135249679
PTWE89;2023-01-12;0.0;2824704.0;2159.75;;
PTWE35;2023-01-13;21701060.351999998;60065280.0;400288.5;2.7678500048254233;0.018445573327162738
PTWE42 Andrézieux;2023-01-13;2031782.4;2451456.0;16450.333333333332;1.206554402676192;0.008096503510087168
PTWE89;2023-01-13;353145.6;2860992.0;2799.0;8.10145163921057;0.007925909313325723
PTWE35;2023-01-14;0.0;0.0;939.1666666666665;;
PTWE42 Andrézieux;2023-01-14;0.0;0.0;239.0;;
PTWE89;2023-01-14;0.0;0.0;326.49999999999994;;
PTWE35;2023-01-15;0.0;3212352.0;560.1666666666666;;
PTWE42 Andrézieux;2023-01-15;0.0;328896.0;194.75;;
PTWE89;2023-01-15;0.0;0.0;332.66666666666663;;
PTWE35;2023-01-16;27005871.744000003;81506304.0;333699.75000000006;3.0180956487030848;0.012356562793576156
PTWE42 Andrézieux;2023-01-16;1489996.8;3499200.0;13590.666666666668;2.3484614195144577;0.009121272385730404
PTWE89;2023-01-16;135244.8;2596032.0;5100.25;19.19505962521295;0.037711246569184176
PTWE35;2023-01-17;21452065.92;77469696.0;399923.99999999994;3.6112930236604455;0.018642679986692858
PTWE42 Andrézieux;2023-01-17;1483776.0;3156480.0;14780.000000000002;2.127329192546584;0.009961072291235336
PTWE89;2023-01-17;112320.0;2861568.0;3988.3333333333335;25.476923076923075;0.03550866571699905
PTWE35;2023-01-18;26724228.48;79396416.0;479370.00000000006;2.9709525967950414;0.017937655351163952
PTWE42 Andrézieux;2023-01-18;1772928.0;2639232.0;16827.166666666668;1.48862897985705;0.009491173170408877
PTWE89;2023-01-18;193017.6;2944512.0;11088.5;15.255147717099373;0.05744812908252926
PTWE35;2023-01-19;24638912.64;74399040.0;482246.49999999994;3.0195748118858545;0.019572556104488867
PTWE42 Andrézieux;2023-01-19;1451174.4;3358080.0;15123.75;2.3140430261173295;0.010421731529993915
PTWE89;2023-01-19;0.0;1980288.0;2102.416666666667;;
PTWE35;2023-01-20;21512010.240000002;60991488.0;444756.1666666666;2.8352295912629684;0.020674784072000636
PTWE42 Andrézieux;2023-01-20;1832486.4;2001600.0;17487.333333333332;1.0922864147859435;0.00954295395225489
PTWE89;2023-01-20;0.0;479808.0;1149.9166666666665;;
PTWE35;2023-01-21;0.0;0.0;1339.5;;
PTWE42 Andrézieux;2023-01-21;0.0;0.0;180.83333333333331;;
PTWE89;2023-01-21;0.0;0.0;370.3333333333333;;
PTWE35;2023-01-22;0.0;3392064.0;811.8333333333334;;
PTWE42 Andrézieux;2023-01-22;0.0;355968.0;153.91666666666669;;
PTWE89;2023-01-22;0.0;0.0;407.33333333333337;;
PTWE35;2023-01-23;21156975.360000003;80663040.0;320028.50000000006;3.812597908135012;0.01512638241310501
PTWE42 Andrézieux;2023-01-23;1372377.6;3741120.0;14714.666666666666;2.7260135985897755;0.010722024803280572
PTWE89;2023-01-23;0.0;2134080.0;1970.5833333333333;;
PTWE35;2023-01-24;19715546.879999995;78838272.0;344162.0;3.998786971513114;0.017456376031299826
PTWE42 Andrézieux;2023-01-24;1544601.6;3451968.0;15573.75;2.2348597852028638;0.010082697052754573
PTWE89;2023-01-24;5473785.6;1963008.0;19361.25;0.3586198187959719;0.0035370859245930277
PTWE35;2023-01-25;23502458.88;82560384.0;438977.49999999994;3.5128402700985815;0.01867793928462348
PTWE42 Andrézieux;2023-01-25;1620057.6;0.0;17041.333333333336;;0.010518967556050684
PTWE89;2023-01-25;1520640.0;2236608.0;6533.500000000001;1.4708333333333334;0.004296546191077442
PTWE35;2023-01-26;21423329.28;57212352.0;363368.74999999994;2.6705630694577085;0.01696135765131646
PTWE42 Andrézieux;2023-01-26;1684454.4;0.0;18381.25;;0.01091228708832961
PTWE89;2023-01-26;685440.0;1942272.0;5552.0;2.8336134453781514;0.008099906629318395
PTWE35;2023-01-27;18055042.560000002;775872.0;171725.99999999997;0.04297259324765612;0.00951124869572171
PTWE42 Andrézieux;2023-01-27;1689408.0;0.0;17563.833333333332;;0.010396442619742142
PTWE89;2023-01-27;234432.0;1123776.0;3526.5;4.7936117936117935;0.015042741605241605
PTWE35;2023-01-28;0.0;0.0;669.9166666666666;;
PTWE42 Andrézieux;2023-01-28;1000051.2;0.0;4198.833333333333;;0.004198618364073092
PTWE89;2023-01-28;0.0;0.0;361.0833333333333;;
PTWE35;2023-01-29;0.0;5429376.0;684.5833333333333;;
PTWE42 Andrézieux;2023-01-29;0.0;0.0;240.75;;
PTWE89;2023-01-29;0.0;0.0;353.0;;
PTWE35;2023-01-30;2385884.1599999997;83325888.0;8959.0;34.92453212816502;0.0037550020869412206
PTWE42 Andrézieux;2023-01-30;0.0;0.0;944.7500000000001;;
PTWE89;2023-01-30;0.0;1652544.0;2038.2499999999998;;
PTWE35;2023-01-31;20989860.48;83790720.0;345366.75;3.991961741710443;0.016453980260091754
PTWE42 Andrézieux;2023-01-31;1368230.4;0.0;17270.666666666668;;0.012622630418580576
PTWE89;2023-01-31;0.0;879552.0;2158.1666666666665;;
PTWE35;2023-02-01;23118687.36;85710528.0;331773.9166666667;3.7074132568744598;0.014350897674264267
PTWE42 Andrézieux;2023-02-01;1600704.0;3085632.0;18813.0;1.9276718243972653;0.011752953700371837
PTWE89;2023-02-01;0.0;912384.0;1989.8333333333333;;
PTWE35;2023-02-02;23602631.04;85879872.0;368293.3333333333;3.638571981846309;0.01560391011956154
PTWE42 Andrézieux;2023-02-02;1409932.8;3152448.0;16105.0;2.2358852847454855;0.011422530208531925
PTWE89;2023-02-02;0.0;897984.0;1943.5;;
PTWE35;2023-02-03;23227793.28;69534720.0;355414.1666666667;2.9935999154888293;0.015301245468405798
PTWE42 Andrézieux;2023-02-03;1627200.0;1929024.0;14567.0;1.1854867256637167;0.008952187807276303
PTWE89;2023-02-03;195840.0;479232.0;2297.333333333333;2.447058823529412;0.011730664488017427
PTWE35;2023-02-04;0.0;0.0;1188.4166666666667;;
PTWE42 Andrézieux;2023-02-04;0.0;0.0;228.41666666666669;;
PTWE89;2023-02-04;0.0;0.0;328.0;;
PTWE35;2023-02-05;0.0;3839616.0;542.3333333333334;;
PTWE42 Andrézieux;2023-02-05;0.0;430272.0;173.58333333333334;;
PTWE89;2023-02-05;0.0;0.0;307.4166666666667;;
PTWE35;2023-02-06;21666597.12;75460032.0;266250.83333333326;3.482781886886352;0.012288539444321067
PTWE42 Andrézieux;2023-02-06;559872.0;2930688.0;7736.25;5.234567901234568;0.013817890517832648
PTWE89;2023-02-06;0.0;0.0;1944.0833333333335;;
PTWE35;2023-02-07;17919715.968000002;77383296.0;349116.41666666674;4.318332731288076;0.019482251688034496
PTWE42 Andrézieux;2023-02-07;1620864.0;2446848.0;13257.833333333334;1.5095948827292112;0.008179485344441812
PTWE89;2023-02-07;0.0;2460672.0;2287.0833333333335;;
PTWE35;2023-02-08;18823000.319999997;77516352.0;358956.25;4.118171953577272;0.01907008680324987
PTWE42 Andrézieux;2023-02-08;964800.0;2930688.0;11240.166666666668;3.0376119402985076;0.011650255666113876
PTWE89;2023-02-08;918144.0;2366784.0;20574.75;2.5777917189460475;0.022409066551652028
PTWE35;2023-02-09;20389985.279999997;81316224.0;311061.3333333334;3.988047214519618;0.015255593815383736
PTWE42 Andrézieux;2023-02-09;1627200.0;3401280.0;14190.583333333336;2.090265486725664;0.008720859963946248
PTWE89;2023-02-09;0.0;2545344.0;1805.9999999999998;;
PTWE35;2023-02-10;22802090.112000007;67718592.0;293508.0;2.9698414341570327;0.01287197790019855
PTWE42 Andrézieux;2023-02-10;1418112.0;2130624.0;14058.416666666668;1.5024370430544274;0.009913474159069713
PTWE89;2023-02-10;766310.4;1687680.0;4638.75;2.202345159350571;0.006053356446682701
PTWE35;2023-02-11;0.0;0.0;1165.25;;
PTWE42 Andrézieux;2023-02-11;0.0;0.0;232.66666666666669;;
PTWE89;2023-02-11;0.0;0.0;407.25;;
PTWE35;2023-02-12;0.0;5460480.0;541.75;;
PTWE42 Andrézieux;2023-02-12;0.0;396864.0;179.83333333333334;;
PTWE89;2023-02-12;0.0;0.0;320.3333333333333;;
PTWE35;2023-02-13;21506304.384;85503168.0;257215.5;3.9757257441037437;0.011960004629682452
PTWE42 Andrézieux;2023-02-13;1192320.0;3421440.0;11199.5;2.869565217391304;0.009393032071927
PTWE89;2023-02-13;0.0;2734848.0;2172.916666666667;;
PTWE35;2023-02-14;21339175.680000003;82354752.0;337900.50000000006;3.859322086053513;0.015834749433020275
PTWE42 Andrézieux;2023-02-14;1465344.0;3327552.0;13666.333333333332;2.2708333333333335;0.00932636523119031
PTWE89;2023-02-14;700387.2;2500416.0;13493.0;3.570048110530861;0.019265057956513197
PTWE35;2023-02-15;24657765.12;82909440.0;316058.6666666667;3.3624069171115534;0.012817814799051289
PTWE42 Andrézieux;2023-02-15;1647360.0;3454848.0;13585.833333333332;2.0972027972027973;0.008247033637658637
PTWE89;2023-02-15;0.0;3062592.0;2172.416666666667;;
PTWE35;2023-02-16;29651996.16;72099072.0;276522.75;2.4315082064276106;0.009325603190689202
PTWE42 Andrézieux;2023-02-16;1653120.0;3098880.0;13883.333333333332;1.8745644599303135;0.008398261065943992
PTWE89;2023-02-16;918720.0;2874240.0;6044.333333333334;3.128526645768025;0.0065790810402879376
PTWE35;2023-02-17;21451938.048;62883648.0;259478.99999999997;2.931373746245866;0.012095830195826602
PTWE42 Andrézieux;2023-02-17;1481472.0;2083968.0;13538.0;1.4066874027993779;0.009138208484534302
PTWE89;2023-02-17;1091520.0;1061568.0;8313.083333333334;0.9725593667546174;0.007616061394507965
PTWE35;2023-02-18;0.0;0.0;897.7499999999999;;
PTWE42 Andrézieux;2023-02-18;0.0;0.0;144.08333333333334;;
PTWE89;2023-02-18;0.0;0.0;290.75;;
PTWE35;2023-02-19;0.0;5802624.0;397.25;;
PTWE42 Andrézieux;2023-02-19;0.0;369792.0;100.33333333333331;;
PTWE89;2023-02-19;0.0;0.0;294.5833333333333;;
PTWE35;2023-02-20;21840019.2;85275072.0;268995.0;3.9045328311799286;0.012316610051331823
PTWE42 Andrézieux;2023-02-20;1458201.6;3475008.0;12002.499999999998;2.383077895402117;0.008231029234915116
PTWE89;2023-02-20;751680.0;3028032.0;10483.75;4.028352490421456;0.013947091847594722
PTWE35;2023-02-21;21484262.016000003;82886976.0;426266.6666666667;3.858032262791781;0.019840880098614164
PTWE42 Andrézieux;2023-02-21;1551168.0;3267072.0;12887.333333333332;2.1062012625324917;0.008308148010617375
PTWE89;2023-02-21;679680.0;2099520.0;6553.0;3.0889830508474576;0.009641301789077213
PTWE35;2023-02-22;22618106.496;78829632.0;413432.25000000006;3.485244532469638;0.0182788179051644
PTWE42 Andrézieux;2023-02-22;1616832.0;3280320.0;14731.250000000002;2.0288564303526897;0.009111181619364288
PTWE89;2023-02-22;723456.0;2741184.0;13886.5;3.7890127388535033;0.01919467113411182
PTWE35;2023-02-23;22351718.016;70087680.0;426993.3333333334;3.1356730587702133;0.019103378676649345
PTWE42 Andrézieux;2023-02-23;1517184.0;2352960.0;12720.0;1.5508731966590736;0.008383953429511516
PTWE89;2023-02-23;339840.0;1139328.0;5932.75;3.352542372881356;0.017457479990583804
